Year,Month,temperature
1997,1,3.744035547
1997,2,5.458882432
1997,3,7.132646954
1997,4,10.51307969
1997,5,13.5405691
1997,6,18.58700442
1997,7,17.02053366
1997,8,20.27956193
1997,9,15.07898691
1997,10,10.03119481
1997,11,6.251939035
1997,12,1.902267178
1998,1,2.436239899
1998,2,5.64611361
1998,3,6.791520414
1998,4,7.64085161
1998,5,14.25864865
1998,6,13.8596581
1998,7,15.50237287
1998,8,14.98342461
1998,9,14.20915951
1998,10,8.033758691
1998,11,5.813732207
1998,12,4.837160674
1999,1,1.480196486
1999,2,0.880859249
1999,3,4.509015353
1999,4,9.542305007
1999,5,13.2461153
1999,6,16.83065375
1999,7,20.17334787
1999,8,16.9996251
1999,9,16.86112356
1999,10,10.59957968
1999,11,8.160503394
1999,12,2.974179891
2000,1,2.651159149
2000,2,3.673258134
2000,3,6.619433928
2000,4,6.81768406
2000,5,14.87345432
2000,6,16.67814574
2000,7,20.08294234
2000,8,19.32424931
2000,9,17.32669585
2000,10,10.72322626
2000,11,6.829511159
2000,12,6.011150338
2001,1,2.440525873
2001,2,1.523881295
2001,3,1.238629926
2001,4,5.393612556
2001,5,10.85871741
2001,6,11.81707716
2001,7,15.93655145
2001,8,16.62586899
2001,9,15.36506953
2001,10,10.57530667
2001,11,3.264138058
2001,12,3.058623747
2002,1,3.621508242
2002,2,4.032426658
2002,3,5.204683344
2002,4,8.588597166
2002,5,11.94547095
2002,6,13.44551981
2002,7,15.81282608
2002,8,18.93848156
2002,9,17.12595249
2002,10,10.206773
2002,11,7.12538524
2002,12,2.472864617
