Date,admissions_glasgow
20000101,48
20000102,52
20000103,71
20000104,58
20000105,65
20000106,55
20000107,57
20000108,36
20000109,37
20000110,45
20000111,40
20000112,28
20000113,35
20000114,33
20000115,18
20000116,22
20000117,31
20000118,24
20000119,31
20000120,22
20000121,25
20000122,13
20000123,20
20000124,31
20000125,27
20000126,24
20000127,21
20000128,24
20000129,14
20000130,19
20000131,27
20000201,13
20000202,18
20000203,15
20000204,15
20000205,22
20000206,14
20000207,25
20000208,20
20000209,24
20000210,17
20000211,20
20000212,12
20000213,19
20000214,23
20000215,17
20000216,20
20000217,22
20000218,24
20000219,19
20000220,17
20000221,17
20000222,17
20000223,24
20000224,16
20000225,25
20000226,16
20000227,15
20000228,19
20000229,24
20000301,16
20000302,19
20000303,13
20000304,14
20000305,19
20000306,18
20000307,15
20000308,11
20000309,17
20000310,23
20000311,21
20000312,13
20000313,18
20000314,18
20000315,13
20000316,16
20000317,18
20000318,15
20000319,8
20000320,25
20000321,25
20000322,14
20000323,10
20000324,22
20000325,17
20000326,14
20000327,21
20000328,24
20000329,13
20000330,19
20000331,22
20000401,21
20000402,15
20000403,31
20000404,21
20000405,18
20000406,13
20000407,19
20000408,12
20000409,14
20000410,15
20000411,17
20000412,27
20000413,16
20000414,23
20000415,21
20000416,10
20000417,28
20000418,22
20000419,21
20000420,19
20000421,26
20000422,14
20000423,19
20000424,18
20000425,17
20000426,13
20000427,19
20000428,21
20000429,13
20000430,24
20000501,20
20000502,33
20000503,24
20000504,11
20000505,15
20000506,16
20000507,21
20000508,21
20000509,25
20000510,17
20000511,13
20000512,11
20000513,14
20000514,12
20000515,22
20000516,21
20000517,29
20000518,21
20000519,22
20000520,14
20000521,8
20000522,17
20000523,10
20000524,14
20000525,19
20000526,18
20000527,16
20000528,10
20000529,20
20000530,24
20000531,16
20000601,13
20000602,16
20000603,8
20000604,14
20000605,13
20000606,16
20000607,21
20000608,21
20000609,26
20000610,16
20000611,13
20000612,27
20000613,20
20000614,9
20000615,13
20000616,14
20000617,12
20000618,21
20000619,18
20000620,20
20000621,14
20000622,18
20000623,7
20000624,13
20000625,13
20000626,17
20000627,17
20000628,13
20000629,4
20000630,23
20000701,18
20000702,13
20000703,21
20000704,10
20000705,16
20000706,14
20000707,9
20000708,9
20000709,18
20000710,19
20000711,20
20000712,20
20000713,10
20000714,14
20000715,10
20000716,13
20000717,8
20000718,17
20000719,20
20000720,12
20000721,12
20000722,7
20000723,16
20000724,16
20000725,17
20000726,13
20000727,12
20000728,14
20000729,15
20000730,13
20000731,25
20000801,14
20000802,12
20000803,14
20000804,12
20000805,8
20000806,14
20000807,17
20000808,22
20000809,18
20000810,16
20000811,10
20000812,9
20000813,17
20000814,17
20000815,16
20000816,13
20000817,11
20000818,15
20000819,12
20000820,12
20000821,17
20000822,19
20000823,19
20000824,11
20000825,18
20000826,19
20000827,15
20000828,18
20000829,14
20000830,15
20000831,16
20000901,16
20000902,11
20000903,11
20000904,21
20000905,22
20000906,10
20000907,16
20000908,17
20000909,13
20000910,19
20000911,11
20000912,14
20000913,10
20000914,15
20000915,18
20000916,27
20000917,15
20000918,26
20000919,16
20000920,17
20000921,11
20000922,21
20000923,13
20000924,15
20000925,13
20000926,21
20000927,25
20000928,29
20000929,14
20000930,10
20001001,17
20001002,15
20001003,13
20001004,16
20001005,19
20001006,17
20001007,10
20001008,16
20001009,25
20001010,11
20001011,31
20001012,18
20001013,18
20001014,16
20001015,17
20001016,18
20001017,15
20001018,18
20001019,20
20001020,16
20001021,10
20001022,19
20001023,20
20001024,17
20001025,17
