Date,Value
28/08/2001,32
03/09/2001,31.5
01/10/2001,36.25
01/11/2001,43.68
03/12/2001,47.38
01/01/2002,37.25
01/02/2002,38.5
01/03/2002,46.25
01/04/2002,52.5
01/05/2002,41.75
03/06/2002,40.75
01/07/2002,29.5
01/08/2002,30.5
02/09/2002,30
01/10/2002,35.75
01/11/2002,42.5
02/12/2002,36.25
01/01/2003,30.25
03/02/2003,31.5
03/03/2003,32.25
01/04/2003,35
01/05/2003,36.25
02/06/2003,37.5
01/07/2003,40
01/08/2003,39.75
01/09/2003,44.25
01/10/2003,46
03/11/2003,43.25
01/12/2003,44.25
01/01/2004,40.5
02/02/2004,42.5
01/03/2004,41
01/04/2004,40.5
03/05/2004,44.25
01/06/2004,46
01/07/2004,42.75
02/08/2004,43.5
01/09/2004,43.25
01/10/2004,46.25
01/11/2004,44.5
01/12/2004,40
03/01/2005,49.5
01/02/2005,48
01/03/2005,54.25
01/04/2005,36.5
02/05/2005,35
01/06/2005,37
01/07/2005,36.5
01/08/2005,36
01/09/2005,33.5
03/10/2005,31.5
01/11/2005,36.25
01/12/2005,38.75
02/01/2006,31.25
01/02/2006,33.75
01/03/2006,35
03/04/2006,32.75
01/05/2006,31.5
01/06/2006,31.5
03/07/2006,31.75
01/08/2006,32.5
01/09/2006,35.5
02/10/2006,36.75
01/11/2006,36.5
01/12/2006,34.25
02/01/2007,33.5
01/02/2007,33
01/03/2007,30.75
02/04/2007,29.5
01/05/2007,27.5
04/06/2007,26.75
02/07/2007,25.5
01/08/2007,23
03/09/2007,17.75
01/10/2007,21.25
01/11/2007,14.75
03/12/2007,13
02/01/2008,10.75
01/02/2008,10.75
03/03/2008,11
01/04/2008,11.5
01/05/2008,10.5
02/06/2008,8.14
01/07/2008,5.73
01/08/2008,7.26
01/09/2008,3.9
01/10/2008,4.25
03/11/2008,1.21
29/12/2008,1.22
